Ensembl Gene ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Gene Biotype	Transcript count
ENSDARG00000058608	wsb2	5	13751951	13762969	protein_coding	2
ENSDARG00000097146	si:ch211-248a16.3	24	9070679	9087365	lincRNA	1
ENSDARG00000045424	zgc:173856	24	9819383	9822071	protein_coding	1
ENSDARG00000034555	PARD3B (1 of 2)	9	14842567	15484361	protein_coding	5
ENSDARG00000075000	ap4e1	25	4867879	4898339	protein_coding	2
ENSDARG00000068667	HTRA2 (1 of 31)	13	8886986	8908288	protein_coding	4
ENSDARG00000091974	si:ch211-262n1.5	4	5805164	5897517	antisense	3
ENSDARG00000090126		15	14394622	14400894	protein_coding	1
ENSDARG00000063101	man2a2	25	8890336	8970919	protein_coding	2
ENSDARG00000092768	metap2b	25	3198518	3302365	protein_coding	4
ENSDARG00000016481	ptpn2a	16	11649540	11665935	protein_coding	4
ENSDARG00000016968	tmem214	4	470796	486492	protein_coding	4
ENSDARG00000012824	itga3b	12	6123093	6198935	protein_coding	1
ENSDARG00000069423	tmie	2	2025945	2081419	protein_coding	2
ENSDARG00000013976	anxa13	24	6443802	6459153	protein_coding	1
ENSDARG00000078912	si:ch73-24k9.2	19	3093268	3106907	protein_coding	2
ENSDARG00000005355	larp6	18	345027	355125	protein_coding	1
ENSDARG00000092291	si:ch211-281g2.3	24	11369320	11370759	processed_transcript	3
ENSDARG00000018688	elk3	4	6747634	6783981	protein_coding	2
ENSDARG00000097204	si:dkey-10h3.5	7	6581888	6628168	lincRNA	1
ENSDARG00000009839	FAM117B (1 of 2)	9	13396651	13489022	protein_coding	2
ENSDARG00000063161	ppwd1	10	11733687	11754461	protein_coding	1
ENSDARG00000019707	C21H9orf114	21	4047519	4065814	protein_coding	4
ENSDARG00000092169	si:dkey-250k15.4	16	13529541	13535256	protein_coding	2
ENSDARG00000094185	si:ch211-146g19.1	18	3967884	3968806	processed_transcript	1
ENSDARG00000038371	cyp2k6	3	12440711	12450736	protein_coding	2
ENSDARG00000036943	golph3l	19	339926	350209	protein_coding	3
ENSDARG00000038366	cyp2k18	3	12551666	12556748	protein_coding	1
ENSDARG00000076292	tenc1a	23	10576183	10693485	protein_coding	2
ENSDARG00000017785		16	6933915	6966664	protein_coding	5
ENSDARG00000097745	si:dkey-187j14.2	7	3023738	3038240	lincRNA	1
ENSDARG00000045776	cnbpa	23	4753683	4759792	protein_coding	5
ENSDARG00000015654	ca15a	12	5000756	5011832	protein_coding	1
ENSDARG00000091260	mylk4a	2	414631	447851	protein_coding	2
ENSDARG00000096631	MED9	12	1581494	1584168	protein_coding	2
ENSDARG00000069649	tmem160	15	8469241	8474513	protein_coding	1
ENSDARG00000028824	slc34a1a	14	835780	858120	protein_coding	4
ENSDARG00000097476	si:dkey-270j5.1	15	6959731	6962356	lincRNA	1
ENSDARG00000096972	jmjd4	2	3906371	3910502	antisense	1
ENSDARG00000092571	si:dkey-167k11.3	3	1128710	1131434	processed_transcript	1
ENSDARG00000014323	zgc:91849	9	27602	39587	protein_coding	2
ENSDARG00000059109	si:dkeyp-113d7.1	19	5940190	5944533	protein_coding	2
ENSDARG00000088432	si:dkey-162h11.3	7	942893	961354	protein_coding	1
ENSDARG00000022218	uck1	21	4485283	4502537	protein_coding	1
ENSDARG00000005842	cd9a	18	6208514	6229857	protein_coding	3
ENSDARG00000059695	DUSP28	2	5088477	5092588	protein_coding	2
ENSDARG00000092277	si:ch73-239k17.1	8	10646980	10651549	processed_transcript	7
ENSDARG00000054528	si:ch211-93e11.8	12	6022617	6040033	protein_coding	1
ENSDARG00000035631	sdf2l1	5	14510877	14518072	protein_coding	1
ENSDARG00000009851	wdr41	21	7545668	7569956	protein_coding	2
ENSDARG00000073737	suds3	5	17266480	17284907	protein_coding	2
ENSDARG00000011961	csrp2	4	2382639	2396944	protein_coding	3
ENSDARG00000003749	polb	8	2631922	2644829	protein_coding	3
ENSDARG00000078058	dip2a	9	570109	680639	protein_coding	2
ENSDARG00000020812	si:ch73-177h5.2	4	1781643	1790656	protein_coding	2
ENSDARG00000071657	si:dkey-19a16.4	22	6028979	6068515	protein_coding	1
ENSDARG00000013095	gclc	13	2137586	2172613	protein_coding	2
ENSDARG00000070331	muc5ac	25	8564734	8608193	protein_coding	2
ENSDARG00000095829	fam105ba	24	10103827	10119748	protein_coding	1
ENSDARG00000095974	si:ch73-211l13.2	3	1906047	1919636	protein_coding	1
ENSDARG00000087784	si:dkeyp-110a12.4	17	7435404	7457606	protein_coding	1
ENSDARG00000031387	cers4a	22	4284475	4309918	protein_coding	1
ENSDARG00000039895	zgc:158621	7	2302939	2321985	protein_coding	2
ENSDARG00000017799	tgm1	23	1753621	1771099	protein_coding	2
ENSDARG00000097180	si:dkey-7i4.21	15	723619	726373	protein_coding	1
ENSDARG00000003287	wdr12	6	8080423	8096175	protein_coding	1
ENSDARG00000019253	rhag	20	13929587	13968857	protein_coding	4
ENSDARG00000063438	srebf2	3	1880241	1904031	protein_coding	1
ENSDARG00000089933	rasal3	6	9306393	9325605	protein_coding	3
ENSDARG00000096839	si:ch73-340m8.3	17	5599017	5599403	antisense	1
ENSDARG00000090838	mrps22	15	6812885	6830476	protein_coding	5
ENSDARG00000087999	si:dkey-286j17.3	22	9893184	9900035	processed_transcript	2
ENSDARG00000007708	nsa2	21	4041162	4047784	protein_coding	1
ENSDARG00000031911	TNS3 (1 of 2)	20	6656317	6772158	protein_coding	4
ENSDARG00000005789	enpp1	20	13318055	13435784	protein_coding	6
ENSDARG00000097732	si:ch211-117i20.2	4	968170	1012667	protein_coding	1
ENSDARG00000018809	abhd3	2	11639815	11703652	protein_coding	1
